Good_Thumbprint,Status
4BB63856F2246FD35BCDE1F5AD537728FB3A40B5,TRUE
2F1F07523135DCBF1E139EA5741D99F445EC8A09,TRUE
C61423CF8D42B82B12BBCE654D3EEAD88D5CD0EA,TRUE
01BA0F5A33E4653E8398BE8A5B28CF1E375E692C,TRUE
10F193F340AC91D6DE5F1EDC006247C4F25D9671,TRUE
3A32EF7B9AB836F837181A4CEFA355C64667ACBF,TRUE
5043435C89B7A77D884137FEEFC00DC7E2AB9478,TRUE
77B6B942F887608BADB837564D9AED85AED6FC7D,TRUE
8C941B34EA1EA6ED9AE2BC54CF687252B4C9B561,TRUE
936147635154C99E5042D2B3B5ACB65AE238911E,TRUE
C313F919A6ED4E0E8451AFA930FB419A20F181E4,TRUE
D62ED2E228AA62001E5C1B51DADFAB0475370CC0,TRUE
